DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
09-Feb-2024,EQ,"4,136.55","4,184.75","4,100.00","4,134.10","4,132.00","4,133.70","4,135.50","4,184.75","3,070.25",2100596,"8,68,70,13,883.30",204415
08-Feb-2024,EQ,"4,090.00","4,158.00","4,086.05","4,083.40","4,137.85","4,134.10","4,122.74","4,158.00","3,070.25",2345173,"9,66,85,40,283.35",212471
07-Feb-2024,EQ,"4,153.00","4,155.00","4,073.95","4,136.00","4,085.00","4,083.40","4,115.33","4,155.00","3,070.25",2124267,"8,74,20,61,109.55",177689
06-Feb-2024,EQ,"3,997.00","4,149.90","3,990.00","3,973.30","4,129.35","4,136.00","4,106.33","4,149.90","3,070.25",4474396,"18,37,33,68,282.15",325723
05-Feb-2024,EQ,"3,983.00","4,022.00","3,962.10","3,966.30","3,966.95","3,973.30","3,996.07","4,022.00","3,070.25",1691523,"6,75,94,38,477.25",156341
02-Feb-2024,EQ,"3,875.05","3,984.40","3,872.00","3,854.15","3,959.20","3,966.30","3,944.48","3,984.40","3,070.25",2826510,"11,14,91,16,302.85",271200
01-Feb-2024,EQ,"3,820.00","3,904.90","3,805.05","3,815.95","3,842.65","3,854.15","3,863.88","3,965.00","3,070.25",2363107,"9,13,07,67,055.90",200156
31-Jan-2024,EQ,"3,811.20","3,834.00","3,796.45","3,800.55","3,804.00","3,815.95","3,814.91","3,965.00","3,070.25",2459358,"9,38,22,20,705.45",166663
30-Jan-2024,EQ,"3,807.45","3,847.80","3,787.00","3,801.00","3,801.40","3,800.55","3,816.76","3,965.00","3,070.25",1411621,"5,38,78,16,849.15",96931
29-Jan-2024,EQ,"3,800.80","3,820.00","3,780.85","3,810.30","3,807.00","3,801.00","3,798.49","3,965.00","3,070.25",1646747,"6,25,51,55,335.60",114028
25-Jan-2024,EQ,"3,839.90","3,861.00","3,778.70","3,841.80","3,807.00","3,810.30","3,803.09","3,965.00","3,070.25",2205154,"8,38,63,94,648.75",186169
24-Jan-2024,EQ,"3,880.00","3,883.65","3,805.60","3,858.25","3,859.40","3,841.80","3,842.01","3,965.00","3,070.25",2657709,"10,21,09,48,798.05",119466
23-Jan-2024,EQ,"3,900.00","3,933.90","3,842.75","3,860.65","3,860.05","3,858.25","3,881.80","3,965.00","3,070.25",2618854,"10,16,58,79,227.30",214176
20-Jan-2024,EQ,"3,948.00","3,955.65","3,855.55","3,943.05","3,859.30","3,860.65","3,896.81","3,965.00","3,070.25",516477,"2,01,26,14,827.20",47373
19-Jan-2024,EQ,"3,945.00","3,963.55","3,915.05","3,902.60","3,947.00","3,943.05","3,942.73","3,965.00","3,070.25",2941975,"11,59,94,14,329.35",272591
18-Jan-2024,EQ,"3,898.00","3,908.80","3,862.00","3,884.60","3,902.00","3,902.60","3,887.98","3,965.00","3,070.25",2239110,"8,70,56,05,580.15",200495
17-Jan-2024,EQ,"3,819.00","3,909.95","3,812.55","3,861.30","3,880.00","3,884.60","3,882.57","3,965.00","3,070.25",3458696,"13,42,86,30,127.85",161556
16-Jan-2024,EQ,"3,899.00","3,899.00","3,855.55","3,903.80","3,861.05","3,861.30","3,873.57","3,965.00","3,070.25",1432672,"5,54,95,55,027.65",157027
15-Jan-2024,EQ,"3,960.00","3,965.00","3,885.00","3,882.80","3,902.00","3,903.80","3,922.67","3,965.00","3,070.25",2801505,"10,98,93,86,687.15",265310
12-Jan-2024,EQ,"3,848.00","3,905.25","3,821.60","3,735.55","3,881.90","3,882.80","3,873.63","3,929.00","3,070.25",6813450,"26,39,28,05,818.30",337824
11-Jan-2024,EQ,"3,724.00","3,773.00","3,707.00","3,713.05","3,726.70","3,735.55","3,738.42","3,929.00","3,070.25",1777909,"6,64,65,66,140.90",135916
10-Jan-2024,EQ,"3,690.00","3,729.25","3,688.00","3,689.90","3,707.05","3,713.05","3,706.94","3,929.00","3,070.25",1292227,"4,79,02,02,220.40",111912
09-Jan-2024,EQ,"3,709.95","3,752.35","3,682.75","3,678.30","3,696.00","3,689.90","3,716.16","3,929.00","3,070.25",1370944,"5,09,46,42,955.85",112174
08-Jan-2024,EQ,"3,737.90","3,739.75","3,672.40","3,737.90","3,680.85","3,678.30","3,696.43","3,929.00","3,070.25",1067805,"3,94,70,62,246.40",137547
05-Jan-2024,EQ,"3,675.00","3,747.75","3,674.85","3,666.80","3,738.60","3,737.90","3,721.70","3,929.00","3,070.25",1963127,"7,30,61,70,829.65",155406
04-Jan-2024,EQ,"3,701.75","3,719.00","3,651.00","3,691.75","3,668.60","3,666.80","3,668.32","3,929.00","3,070.25",3598144,"13,19,91,52,251.35",220494
03-Jan-2024,EQ,"3,767.00","3,771.85","3,687.05","3,783.20","3,692.60","3,691.75","3,711.76","3,929.00","3,070.25",1803075,"6,69,25,84,987.50",208012
02-Jan-2024,EQ,"3,811.10","3,811.10","3,767.25","3,811.10","3,781.15","3,783.20","3,787.05","3,929.00","3,070.25",1344068,"5,09,00,55,959.15",133902
01-Jan-2024,EQ,"3,790.00","3,832.00","3,773.00","3,793.40","3,803.00","3,811.10","3,804.27","3,929.00","3,070.25",825907,"3,14,19,74,600.85",94008
29-Dec-2023,EQ,"3,792.00","3,822.60","3,765.40","3,799.90","3,800.00","3,793.40","3,796.92","3,929.00","3,070.25",1574996,"5,98,01,29,693.80",131434
28-Dec-2023,EQ,"3,824.00","3,838.00","3,792.10","3,811.20","3,796.15","3,799.90","3,811.22","3,929.00","3,070.25",1682889,"6,41,38,55,833.10",133761
27-Dec-2023,EQ,"3,799.00","3,818.20","3,768.00","3,795.55","3,808.00","3,811.20","3,792.62","3,929.00","3,070.25",1293976,"4,90,75,56,179.85",135647
26-Dec-2023,EQ,"3,819.85","3,834.00","3,790.15","3,824.00","3,798.10","3,795.55","3,806.25","3,929.00","3,070.25",1285231,"4,89,19,12,408.60",105834
22-Dec-2023,EQ,"3,800.00","3,845.95","3,762.00","3,787.50","3,814.00","3,824.00","3,805.11","3,929.00","3,070.25",2413058,"9,18,19,61,989.95",210826
21-Dec-2023,EQ,"3,756.25","3,806.70","3,743.35","3,780.05","3,796.65","3,787.50","3,783.40","3,929.00","3,070.25",1517562,"5,74,15,45,164.75",141897
20-Dec-2023,EQ,"3,827.25","3,898.80","3,766.55","3,816.20","3,774.00","3,780.05","3,841.02","3,929.00","3,070.25",2586083,"9,93,31,85,211.45",173222
19-Dec-2023,EQ,"3,845.00","3,855.10","3,790.00","3,859.20","3,808.00","3,816.20","3,814.98","3,929.00","3,070.25",2004435,"7,64,68,76,716.95",133647
18-Dec-2023,EQ,"3,858.10","3,929.00","3,830.15","3,861.00","3,856.00","3,859.20","3,872.72","3,929.00","3,070.25",2521612,"9,76,55,02,705.80",178532
15-Dec-2023,EQ,"3,666.70","3,895.95","3,666.70","3,667.25","3,871.00","3,861.00","3,810.10","3,895.95","3,070.25",8531230,"32,50,48,50,648.60",363820
